country;p2010;p2011;p2012;p2013;p2014;p2015;p2016;p2017;population_avg
Bulgaria;7.395.599;7.348.328;7.305.888;7.265.115;7.223.938;7.177.991;7.127.822;7.075.947;7.240.079
Papua New Guinea;7.310.507;7.472.200;7.631.002;7.788.379;7.946.731;8.107.775;8.271.760;8.438.029;7.870.798
Serbia;7.291.436;7.234.099;7.199.077;7.164.132;7.130.576;7.095.383;7.058.322;7.020.858;7.149.235
Jordan;7.261.539;7.663.131;8.090.872;8.520.420;8.920.049;9.266.575;9.551.467;9.779.173;8.631.653
Hong Kong SAR, China;7.024.200;7.071.600;7.150.100;7.178.900;7.229.500;7.291.300;7.336.600;7.391.700;7.209.238
Caribbean small states;6.973.196;7.022.380;7.072.661;7.123.333;7.173.442;7.222.206;7.269.385;7.314.986;7.146.449
Togo;6.421.679;6.595.943;6.773.807;6.954.721;7.137.997;7.323.158;7.509.952;7.698.475;7.051.967
Sierra Leone;6.415.634;6.563.240;6.712.581;6.863.980;7.017.144;7.171.914;7.328.838;7.488.431;6.945.220
Lao PDR;6.249.165;6.347.567;6.444.530;6.541.304;6.639.756;6.741.164;6.845.846;6.953.035;6.595.296
Paraguay;6.248.020;6.333.976;6.421.512;6.510.276;6.599.526;6.688.746;6.777.872;6.867.062;6.555.874
Libya;6.197.663;6.247.439;6.285.750;6.320.359;6.362.037;6.418.315;6.492.164;6.580.724;6.363.056
El Salvador;6.183.875;6.210.568;6.237.923;6.266.070;6.295.128;6.325.124;6.356.143;6.388.122;6.282.869
Nicaragua;5.824.065;5.903.039;5.982.526;6.062.454;6.142.733;6.223.240;6.303.974;6.384.855;6.103.361
Denmark;5.547.683;5.570.572;5.591.572;5.614.932;5.643.475;5.683.483;5.728.010;5.764.980;5.643.088
Kyrgyz Republic;5.447.900;5.514.600;5.607.200;5.719.600;5.835.500;5.956.900;6.079.500;6.198.200;5.794.925
Slovak Republic;5.391.428;5.398.384;5.407.579;5.413.393;5.418.649;5.423.801;5.430.798;5.439.232;5.415.408
Finland;5.363.352;5.388.272;5.413.971;5.438.972;5.461.512;5.479.531;5.495.303;5.508.214;5.443.641
Turkmenistan;5.087.213;5.174.085;5.267.900;5.366.375;5.466.328;5.565.287;5.662.372;5.757.669;5.418.404
Singapore;5.076.732;5.183.688;5.312.437;5.399.162;5.469.724;5.535.002;5.607.283;5.612.253;5.399.535
Lebanon;4.953.061;5.202.343;5.538.634;5.914.621;6.262.410;6.532.678;6.711.121;6.811.873;5.990.843
Norway;4.889.252;4.953.088;5.018.573;5.079.623;5.137.232;5.188.607;5.234.519;5.276.968;5.097.233
Costa Rica;4.577.378;4.633.086;4.688.000;4.742.107;4.795.396;4.847.804;4.899.345;4.949.954;4.766.634
Ireland;4.560.155;4.580.084;4.599.533;4.623.816;4.657.740;4.701.957;4.755.335;4.807.388;4.660.751
Central African Republic;4.386.768;4.418.636;4.436.415;4.447.942;4.464.175;4.493.170;4.537.687;4.596.028;4.472.603
New Zealand;4.350.700;4.384.000;4.408.100;4.442.100;4.509.700;4.595.700;4.693.200;4.793.900;4.522.175
Croatia;4.295.427;4.280.622;4.267.558;4.255.689;4.238.389;4.203.604;4.174.349;4.124.531;4.230.021
Congo, Rep.;4.273.731;4.394.844;4.510.198;4.622.761;4.736.974;4.856.095;4.980.999;5.110.702;4.685.788
Liberia;3.891.356;4.017.443;4.135.659;4.248.334;4.359.505;4.472.230;4.586.788;4.702.228;4.301.693
Georgia;3.786.695;3.756.441;3.728.874;3.717.668;3.719.414;3.725.276;3.727.505;3.728.004;3.736.235
West Bank and Gaza;3.786.161;3.882.986;3.979.998;4.076.708;4.173.398;4.270.092;4.367.088;4.454.805;4.123.905
Puerto Rico;3.721.525;3.678.732;3.634.488;3.593.077;3.534.874;3.473.232;3.406.672;3.325.286;3.545.986
Bosnia and Herzegovina;3.705.472;3.661.175;3.604.972;3.542.605;3.482.104;3.429.361;3.386.267;3.351.527;3.520.435
Panama;3.642.687;3.706.483;3.770.624;3.835.437;3.901.315;3.968.487;4.037.078;4.106.771;3.871.110
Mauritania;3.494.195;3.598.648;3.706.554;3.817.494;3.930.896;4.046.301;4.163.534;4.282.574;3.880.025
Uruguay;3.359.275;3.368.934;3.378.974;3.389.439;3.400.434;3.412.009;3.424.132;3.436.646;3.396.230
Lithuania;3.097.282;3.028.115;2.987.773;2.957.689;2.932.367;2.904.910;2.868.231;2.828.403;2.950.596
Oman;3.041.434;3.251.108;3.498.029;3.764.805;4.027.260;4.267.348;4.479.219;4.665.935;3.874.392
Kuwait;2.991.884;3.168.060;3.348.853;3.526.376;3.690.941;3.835.591;3.956.875;4.056.099;3.571.835
